day, preys, predators
124, 67.45, 48.6993
125, 66.5574, 48.94
126, 65.6564, 49.1485
127, 64.7508, 49.3243
128, 63.8442, 49.4669
129, 62.9401, 49.5762
130, 62.0418, 49.6522
131, 61.1525, 49.6952
132, 60.275, 49.7054
133, 59.412, 49.6835
134, 58.566, 49.6302
135, 57.7393, 49.5461
136, 56.9337, 49.4325
137, 56.1512, 49.2902
138, 55.3934, 49.1205
139, 54.6617, 48.9246
140, 53.9572, 48.7039
141, 53.2811, 48.4597
142, 52.6342, 48.1934
143, 52.0173, 47.9066
144, 51.4309, 47.6007
145, 50.8756, 47.2772
146, 50.3516, 46.9375
147, 49.8593, 46.5832
148, 49.3987, 46.2158
149, 48.97, 45.8366
150, 48.5731, 45.4471
151, 48.208, 45.0487
152, 47.8746, 44.6427
153, 47.5727, 44.2304
154, 47.3022, 43.8132
155, 47.0627, 43.3922
156, 46.8541, 42.9685
157, 46.676, 42.5434
158, 46.5282, 42.1178
159, 46.4103, 41.6929
160, 46.3221, 41.2695
161, 46.2632, 40.8487
162, 46.2333, 40.4312
163, 46.2321, 40.018
164, 46.2592, 39.6098
165, 46.3142, 39.2074
166, 46.3969, 38.8114
167, 46.507, 38.4226
168, 46.644, 38.0415
169, 46.8077, 37.6688
170, 46.9977, 37.305
171, 47.2136, 36.9507
172, 47.4552, 36.6063
173, 47.7221, 36.2722
174, 48.0138, 35.9491
175, 48.3301, 35.6372
176, 48.6705, 35.3369
177, 49.0347, 35.0487
178, 49.4222, 34.7728
179, 49.8326, 34.5096
180, 50.2654, 34.2595
181, 50.7202, 34.0227
182, 51.1963, 33.7996
183, 51.6934, 33.5903
184, 52.2106, 33.3952
185, 52.7475, 33.2145
186, 53.3033, 33.0485
187, 53.8773, 32.8975
188, 54.4687, 32.7616
189, 55.0767, 32.641
190, 55.7003, 32.5361
191, 56.3386, 32.447
192, 56.9905, 32.3739
193, 57.6549, 32.3171
194, 58.3307, 32.2767
195, 59.0165, 32.2529
196, 59.711, 32.2459
197, 60.4128, 32.2559
198, 61.1203, 32.283
199, 61.8319, 32.3274
200, 62.5459, 32.3893
201, 63.2606, 32.4687
202, 63.9739, 32.5657
203, 64.6841, 32.6805
204, 65.389, 32.8132
205, 66.0866, 32.9636
206, 66.7745, 33.132
207, 67.4505, 33.3182
208, 68.1123, 33.5221
209, 68.7576, 33.7438
210, 69.3838, 33.9829
211, 69.9886, 34.2394
212, 70.5694, 34.513
213, 71.1238, 34.8034
214, 71.6493, 35.1101
215, 72.1436, 35.4328
216, 72.6041, 35.771
217, 73.0287, 36.124
218, 73.4151, 36.4911
219, 73.7613, 36.8717
220, 74.0651, 37.2648
221, 74.325, 37.6695
222, 74.5391, 38.0848
223, 74.7061, 38.5095
224, 74.8248, 38.9425
225, 74.8942, 39.3824
226, 74.9135, 39.8279
227, 74.8824, 40.2775
228, 74.8005, 40.7296
229, 74.6681, 41.1826
230, 74.4854, 41.635
231, 74.2532, 42.0849
232, 73.9724, 42.5305
233, 73.6443, 42.9703
234, 73.2703, 43.4022
235, 72.8524, 43.8247
236, 72.3924, 44.2358
237, 71.8927, 44.6339
238, 71.3557, 45.0173
239, 70.784, 45.3844
240, 70.1804, 45.7336
241, 69.5479, 46.0634
242, 68.8894, 46.3726
243, 68.208, 46.6599
244, 67.5068, 46.924
245, 66.7891, 47.1642
246, 66.0579, 47.3795
247, 65.3163, 47.5691
248, 64.5674, 47.7326
249, 63.8141, 47.8696
250, 63.0593, 47.9797
251, 62.3058, 48.0628
252, 61.5561, 48.1189
253, 60.8129, 48.1483
254, 60.0783, 48.1511
255, 59.3547, 48.1278
256, 58.644, 48.0789
257, 57.9482, 48.0051
258, 57.2689, 47.9069
259, 56.6079, 47.7854
260, 55.9664, 47.6412
261, 55.3458, 47.4755
262, 54.7472, 47.2892
263, 54.1716, 47.0834
264, 53.6199, 46.8592
265, 53.0929, 46.6177
266, 52.5912, 46.3601
267, 52.1153, 46.0875
268, 51.6657, 45.8012
269, 51.2428, 45.5024
270, 50.8468, 45.1921
271, 50.4779, 44.8717
272, 50.1363, 44.5422
273, 49.8221, 44.2047
274, 49.5352, 43.8605
275, 49.2757, 43.5105
276, 49.0436, 43.1559
277, 48.8386, 42.7977
278, 48.6608, 42.4368
279, 48.5098, 42.0742
280, 48.3857, 41.7108
281, 48.2881, 41.3476
282, 48.2168, 40.9854
283, 48.1716, 40.625
284, 48.1523, 40.2672
285, 48.1586, 39.9128
286, 48.1903, 39.5624
287, 48.2469, 39.2167
288, 48.3284, 38.8764
289, 48.4343, 38.542
290, 48.5644, 38.2143
291, 48.7183, 37.8937
292, 48.8958, 37.5807
293, 49.0964, 37.2758
294, 49.3198, 36.9796
295, 49.5658, 36.6925
296, 49.8337, 36.4148
297, 50.1234, 36.1471
298, 50.4344, 35.8896
299, 50.7662, 35.6428
300, 51.1184, 35.4069
301, 51.4905, 35.1824
302, 51.882, 34.9695
303, 52.2923, 34.7685
304, 52.721, 34.5797
305, 53.1673, 34.4034
306, 53.6307, 34.2398
307, 54.1104, 34.0892
308, 54.6058, 33.9519
309, 55.1161, 33.828
310, 55.6404, 33.7177
311, 56.1779, 33.6214
312, 56.7277, 33.539
313, 57.2887, 33.471
314, 57.8601, 33.4173
315, 58.4405, 33.3783
316, 59.029, 33.354
317, 59.6242, 33.3446
318, 60.2249, 33.3502
319, 60.8298, 33.371
320, 61.4374, 33.407
321, 62.0462, 33.4584
322, 62.6547, 33.5251
323, 63.2613, 33.6073
324, 63.8644, 33.705
325, 64.4621, 33.8182
326, 65.0528, 33.9468
327, 65.6345, 34.0909
328, 66.2055, 34.2503
329, 66.7638, 34.4249
330, 67.3076, 34.6147
331, 67.8347, 34.8193
332, 68.3433, 35.0385
333, 68.8315, 35.2721
334, 69.2972, 35.5198
335, 69.7385, 35.7811
336, 70.1536, 36.0557
337, 70.5405, 36.343
338, 70.8976, 36.6425
339, 71.223, 36.9536
340, 71.5153, 37.2755
341, 71.7729, 37.6075
342, 71.9944, 37.9489
343, 72.1786, 38.2987
344, 72.3244, 38.6561
345, 72.4308, 39.0198
346, 72.4973, 39.389
347, 72.5231, 39.7625
348, 72.508, 40.139
349, 72.4518, 40.5174
350, 72.3545, 40.8964
351, 72.2164, 41.2745
352, 72.0381, 41.6506
353, 71.8201, 42.0231
354, 71.5635, 42.3908
355, 71.2693, 42.7521
356, 70.9388, 43.1057
357, 70.5735, 43.4503
358, 70.1752, 43.7844
359, 69.7455, 44.1068
360, 69.2866, 44.4162
361, 68.8003, 44.7113
362, 68.2891, 44.991
363, 67.7551, 45.2542
364, 67.2007, 45.4999
